"","X.2","X.1","X","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","trump","clinton","other","undecided","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","other.nonas","decided.total","trump.defs","clinton.defs","other.defs"
"11",11,11,23,"--","Monmouth University","2016-11-03","2016-11-06","2016-11-07T16:02:39Z",748,"Likely Voters","Live Phone",44,50,3,1,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26790","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?",1,3,97,45.360824742268,51.5463917525773,3.09278350515464
"12",12,12,24,"--","Monmouth University","2016-11-03","2016-11-06","2016-11-07T16:02:39Z",748,"Likely Voters","Live Phone",44,50,5,1,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26790","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/","Nonpartisan","None","",2,5,99,44.4444444444444,50.5050505050505,5.05050505050505
"13",13,13,25,"--","FOX","2016-11-03","2016-11-06","2016-11-07T15:12:41Z",1295,"Likely Voters","Live Phone",44,48,4,1,"http://elections.huffingtonpost.com/pollster/polls/fox-26784","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html","Nonpartisan","None","",1,4,96,45.8333333333333,50,4.16666666666667
"14",14,14,29,"--","FOX","2016-11-03","2016-11-06","2016-11-07T15:12:41Z",1295,"Likely Voters","Live Phone",44,48,2,7,"http://elections.huffingtonpost.com/pollster/polls/fox-26784","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html","Nonpartisan","None","",2,2,94,46.8085106382979,51.063829787234,2.12765957446809
"15",15,15,33,"--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",2195,"Likely Voters","Internet",39,44,9,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,9,92,42.3913043478261,47.8260869565217,9.78260869565217
"16",16,16,37,"--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",2195,"Likely Voters","Internet",39,42,6,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,6,87,44.8275862068966,48.2758620689655,6.89655172413793
"17",17,17,41,"--","Rasmussen","2016-11-02","2016-11-06","2016-11-07T13:46:46Z",1500,"Likely Voters","IVR/Online",43,45,5,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-26781","http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/november_2016/crosstabs_election_2016_white_house_watch_november_2_3_6_2016","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1,5,93,46.2365591397849,48.3870967741936,5.37634408602151
"18",18,18,42,"--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",1426,"Likely Voters","Live Phone",43,47,5,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",1,5,95,45.2631578947368,49.4736842105263,5.26315789473684
"19",19,19,46,"--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",1426,"Likely Voters","Live Phone",41,45,4,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",2,4,90,45.5555555555556,50,4.44444444444444
"20",20,20,53,"--","Politico/Morning Consult","2016-11-04","2016-11-05","2016-11-06T12:47:24Z",1482,"Likely Voters","Internet",42,45,4,0,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751","https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/","Nonpartisan","None","",1,4,91,46.1538461538462,49.4505494505495,4.3956043956044
"21",21,21,57,"--","NBC/WSJ","2016-11-03","2016-11-05","2016-11-06T14:21:45Z",1282,"Likely Voters","Live Phone",40,44,5,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26753","https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final","Nonpartisan","None","If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?",1,5,89,44.9438202247191,49.438202247191,5.61797752808989
"22",22,22,58,"--","NBC/WSJ","2016-11-03","2016-11-05","2016-11-06T14:21:45Z",1282,"Likely Voters","Live Phone",43,48,3,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26753","https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final","Nonpartisan","None","And, if the election for president were held today, with only Donald Trump and Mike Pence as the Republican candidates, and Hillary Clinton and Tim Kaine as the Democratic candidates, for whom would you vote?",2,3,94,45.7446808510638,51.063829787234,3.19148936170213
